set	subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	all	1	247627	0.546	247627	0.546
all	all	2	86725	0.191	334352	0.737
all	all	3	24008	0.0529	358360	0.79
all	all	4	18881	0.0416	377241	0.832
all	all	5	11463	0.0253	388704	0.857
all	all	6	10056	0.0222	398760	0.879
all	all	7	6919	0.0153	405679	0.895
all	all	8	6207	0.0137	411886	0.908
all	all	9	4455	0.00982	416341	0.918
all	all	10	3602	0.00794	419943	0.926
all	all	11	2794	0.00616	422737	0.932
all	all	12	2240	0.00494	424977	0.937
all	all	13	1744	0.00385	426721	0.941
all	all	14	1550	0.00342	428271	0.944
all	all	15	1469	0.00324	429740	0.948
all	all	16	1296	0.00286	431036	0.951
all	all	17	1199	0.00264	432235	0.953
all	all	18	1075	0.00237	433310	0.956
all	all	19	1017	0.00224	434327	0.958
all	all	20	1028	0.00227	435355	0.96
all	all	21	938	0.00207	436293	0.962
all	all	22	906	0.002	437199	0.964
all	all	23	873	0.00193	438072	0.966
all	all	24	837	0.00185	438909	0.968
all	all	25	771	0.0017	439680	0.97
all	all	26	691	0.00152	440371	0.971
all	all	27	715	0.00158	441086	0.973
all	all	28	677	0.00149	441763	0.974
all	all	29	655	0.00144	442418	0.976
all	all	30	648	0.00143	443066	0.977
all	all	31	649	0.00143	443715	0.979
all	all	32	617	0.00136	444332	0.98
all	all	33	671	0.00148	445003	0.981
all	all	34	689	0.00152	445692	0.983
all	all	35	798	0.00176	446490	0.985
all	all	36	811	0.00179	447301	0.986
all	all	37	819	0.00181	448120	0.988
all	all	38	861	0.0019	448981	0.99
all	all	39	886	0.00195	449867	0.992
all	all	40	940	0.00207	450807	0.994
all	all	41	1097	0.00242	451904	0.997
all	all	42	853	0.00188	452757	0.998
all	all	43	478	0.00105	453235	1
all	all	44	162	0.000357	453397	1
all	all	45	44	9.7e-05	453441	1
all	all	46	11	2.43e-05	453452	1
all	all	47	1	2.21e-06	453453	1
all	known	1	11537	0.178	11537	0.178
all	known	2	10057	0.155	21594	0.333
all	known	3	4053	0.0625	25647	0.396
all	known	4	3473	0.0536	29120	0.449
all	known	5	2409	0.0372	31529	0.486
all	known	6	2244	0.0346	33773	0.521
all	known	7	1839	0.0284	35612	0.549
all	known	8	1512	0.0233	37124	0.573
all	known	9	1344	0.0207	38468	0.593
all	known	10	1276	0.0197	39744	0.613
all	known	11	1167	0.018	40911	0.631
all	known	12	1036	0.016	41947	0.647
all	known	13	853	0.0132	42800	0.66
all	known	14	842	0.013	43642	0.673
all	known	15	849	0.0131	44491	0.686
all	known	16	831	0.0128	45322	0.699
all	known	17	764	0.0118	46086	0.711
all	known	18	733	0.0113	46819	0.722
all	known	19	739	0.0114	47558	0.733
all	known	20	757	0.0117	48315	0.745
all	known	21	716	0.011	49031	0.756
all	known	22	710	0.0109	49741	0.767
all	known	23	675	0.0104	50416	0.778
all	known	24	687	0.0106	51103	0.788
all	known	25	644	0.00993	51747	0.798
all	known	26	571	0.00881	52318	0.807
all	known	27	624	0.00962	52942	0.816
all	known	28	592	0.00913	53534	0.826
all	known	29	574	0.00885	54108	0.834
all	known	30	583	0.00899	54691	0.843
all	known	31	597	0.00921	55288	0.853
all	known	32	574	0.00885	55862	0.861
all	known	33	638	0.00984	56500	0.871
all	known	34	656	0.0101	57156	0.881
all	known	35	779	0.012	57935	0.893
all	known	36	789	0.0122	58724	0.906
all	known	37	806	0.0124	59530	0.918
all	known	38	851	0.0131	60381	0.931
all	known	39	878	0.0135	61259	0.945
all	known	40	939	0.0145	62198	0.959
all	known	41	1096	0.0169	63294	0.976
all	known	42	853	0.0132	64147	0.989
all	known	43	478	0.00737	64625	0.997
all	known	44	162	0.0025	64787	0.999
all	known	45	44	0.000679	64831	1
all	known	46	11	0.00017	64842	1
all	known	47	1	1.54e-05	64843	1
all	novel	1	160191	0.696	160191	0.696
all	novel	2	37618	0.164	197809	0.86
all	novel	3	7470	0.0325	205279	0.893
all	novel	4	5822	0.0253	211101	0.918
all	novel	5	3584	0.0156	214685	0.933
all	novel	6	3068	0.0133	217753	0.947
all	novel	7	1983	0.00862	219736	0.955
all	novel	8	1748	0.0076	221484	0.963
all	novel	9	1313	0.00571	222797	0.969
all	novel	10	1135	0.00493	223932	0.974
all	novel	11	931	0.00405	224863	0.978
all	novel	12	762	0.00331	225625	0.981
all	novel	13	621	0.0027	226246	0.984
all	novel	14	523	0.00227	226769	0.986
all	novel	15	470	0.00204	227239	0.988
all	novel	16	374	0.00163	227613	0.99
all	novel	17	346	0.0015	227959	0.991
all	novel	18	264	0.00115	228223	0.992
all	novel	19	237	0.00103	228460	0.993
all	novel	20	217	0.000943	228677	0.994
all	novel	21	185	0.000804	228862	0.995
all	novel	22	178	0.000774	229040	0.996
all	novel	23	164	0.000713	229204	0.997
all	novel	24	122	0.00053	229326	0.997
all	novel	25	105	0.000457	229431	0.998
all	novel	26	98	0.000426	229529	0.998
all	novel	27	77	0.000335	229606	0.998
all	novel	28	66	0.000287	229672	0.999
all	novel	29	67	0.000291	229739	0.999
all	novel	30	58	0.000252	229797	0.999
all	novel	31	46	0.0002	229843	0.999
all	novel	32	38	0.000165	229881	0.999
all	novel	33	30	0.00013	229911	1
all	novel	34	27	0.000117	229938	1
all	novel	35	16	6.96e-05	229954	1
all	novel	36	20	8.7e-05	229974	1
all	novel	37	10	4.35e-05	229984	1
all	novel	38	8	3.48e-05	229992	1
all	novel	39	5	2.17e-05	229997	1
all	novel	40	1	4.35e-06	229998	1
all	novel	41	1	4.35e-06	229999	1
all	ism	1	24195	0.378	24195	0.378
all	ism	2	18602	0.29	42797	0.668
all	ism	3	6075	0.0948	48872	0.763
all	ism	4	5435	0.0848	54307	0.847
all	ism	5	2670	0.0417	56977	0.889
all	ism	6	2117	0.033	59094	0.922
all	ism	7	1126	0.0176	60220	0.94
all	ism	8	1091	0.017	61311	0.957
