set	subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	all	1	266293	0.547	266293	0.547
all	all	2	91880	0.189	358173	0.735
all	all	3	25665	0.0527	383838	0.788
all	all	4	18248	0.0375	402086	0.826
all	all	5	11557	0.0237	413643	0.849
all	all	6	9714	0.0199	423357	0.869
all	all	7	6955	0.0143	430312	0.884
all	all	8	6277	0.0129	436589	0.896
all	all	9	4784	0.00982	441373	0.906
all	all	10	4084	0.00839	445457	0.915
all	all	11	3355	0.00689	448812	0.922
all	all	12	2900	0.00595	451712	0.927
all	all	13	2527	0.00519	454239	0.933
all	all	14	2363	0.00485	456602	0.937
all	all	15	2049	0.00421	458651	0.942
all	all	16	1882	0.00386	460533	0.946
all	all	17	1746	0.00358	462279	0.949
all	all	18	1567	0.00322	463846	0.952
all	all	19	1533	0.00315	465379	0.956
all	all	20	1454	0.00299	466833	0.959
all	all	21	1404	0.00288	468237	0.961
all	all	22	1256	0.00258	469493	0.964
all	all	23	1210	0.00248	470703	0.966
all	all	24	1150	0.00236	471853	0.969
all	all	25	1128	0.00232	472981	0.971
all	all	26	1079	0.00222	474060	0.973
all	all	27	1029	0.00211	475089	0.975
all	all	28	1099	0.00226	476188	0.978
all	all	29	1052	0.00216	477240	0.98
all	all	30	1005	0.00206	478245	0.982
all	all	31	1065	0.00219	479310	0.984
all	all	32	1007	0.00207	480317	0.986
all	all	33	1038	0.00213	481355	0.988
all	all	34	1087	0.00223	482442	0.991
all	all	35	1228	0.00252	483670	0.993
all	all	36	1264	0.0026	484934	0.996
all	all	37	1059	0.00217	485993	0.998
all	all	38	611	0.00125	486604	0.999
all	all	39	295	0.000606	486899	1
all	all	40	90	0.000185	486989	1
all	all	41	41	8.42e-05	487030	1
all	all	42	9	1.85e-05	487039	1
all	all	43	4	8.21e-06	487043	1
all	all	44	1	2.05e-06	487044	1
all	known	1	19962	0.192	19962	0.192
all	known	2	17143	0.165	37105	0.358
all	known	3	7871	0.0758	44976	0.433
all	known	4	6268	0.0604	51244	0.494
all	known	5	4431	0.0427	55675	0.536
all	known	6	3781	0.0364	59456	0.573
all	known	7	3123	0.0301	62579	0.603
all	known	8	2729	0.0263	65308	0.629
all	known	9	2438	0.0235	67746	0.653
all	known	10	2140	0.0206	69886	0.673
all	known	11	1960	0.0189	71846	0.692
all	known	12	1800	0.0173	73646	0.71
all	known	13	1669	0.0161	75315	0.726
all	known	14	1628	0.0157	76943	0.741
all	known	15	1461	0.0141	78404	0.755
all	known	16	1400	0.0135	79804	0.769
all	known	17	1370	0.0132	81174	0.782
all	known	18	1245	0.012	82419	0.794
all	known	19	1233	0.0119	83652	0.806
all	known	20	1201	0.0116	84853	0.818
all	known	21	1180	0.0114	86033	0.829
all	known	22	1062	0.0102	87095	0.839
all	known	23	1043	0.0101	88138	0.849
all	known	24	1004	0.00967	89142	0.859
all	known	25	1012	0.00975	90154	0.869
all	known	26	995	0.00959	91149	0.878
all	known	27	945	0.00911	92094	0.887
all	known	28	1033	0.00995	93127	0.897
all	known	29	997	0.00961	94124	0.907
all	known	30	962	0.00927	95086	0.916
all	known	31	1041	0.01	96127	0.926
all	known	32	974	0.00939	97101	0.936
all	known	33	1020	0.00983	98121	0.945
all	known	34	1071	0.0103	99192	0.956
all	known	35	1224	0.0118	100416	0.968
all	known	36	1257	0.0121	101673	0.98
all	known	37	1058	0.0102	102731	0.99
all	known	38	610	0.00588	103341	0.996
all	known	39	295	0.00284	103636	0.999
all	known	40	90	0.000867	103726	0.999
all	known	41	41	0.000395	103767	1
all	known	42	9	8.67e-05	103776	1
all	known	43	4	3.85e-05	103780	1
all	known	44	1	9.64e-06	103781	1
all	novel	1	156652	0.693	156652	0.693
all	novel	2	35659	0.158	192311	0.851
all	novel	3	8603	0.0381	200914	0.889
all	novel	4	5588	0.0247	206502	0.914
all	novel	5	3689	0.0163	210191	0.93
all	novel	6	2899	0.0128	213090	0.943
all	novel	7	2185	0.00967	215275	0.953
all	novel	8	1914	0.00847	217189	0.961
all	novel	9	1497	0.00662	218686	0.968
all	novel	10	1327	0.00587	220013	0.974
all	novel	11	980	0.00434	220993	0.978
all	novel	12	773	0.00342	221766	0.981
all	novel	13	647	0.00286	222413	0.984
all	novel	14	575	0.00254	222988	0.987
all	novel	15	473	0.00209	223461	0.989
all	novel	16	382	0.00169	223843	0.991
all	novel	17	301	0.00133	224144	0.992
all	novel	18	251	0.00111	224395	0.993
all	novel	19	250	0.00111	224645	0.994
all	novel	20	213	0.000943	224858	0.995
all	novel	21	192	0.00085	225050	0.996
all	novel	22	165	0.00073	225215	0.997
all	novel	23	138	0.000611	225353	0.997
all	novel	24	123	0.000544	225476	0.998
all	novel	25	101	0.000447	225577	0.998
all	novel	26	72	0.000319	225649	0.999
all	novel	27	73	0.000323	225722	0.999
all	novel	28	57	0.000252	225779	0.999
all	novel	29	45	0.000199	225824	0.999
all	novel	30	40	0.000177	225864	1
all	novel	31	22	9.74e-05	225886	1
all	novel	32	32	0.000142	225918	1
all	novel	33	17	7.52e-05	225935	1
all	novel	34	15	6.64e-05	225950	1
all	novel	35	4	1.77e-05	225954	1
all	novel	36	7	3.1e-05	225961	1
all	novel	37	1	4.43e-06	225962	1
all	novel	38	1	4.43e-06	225963	1
all	ism	1	29333	0.42	29333	0.42
all	ism	2	19409	0.278	48742	0.698
all	ism	3	5946	0.0851	54688	0.783
all	ism	4	5117	0.0733	59805	0.856
all	ism	5	2522	0.0361	62327	0.892
all	ism	6	2341	0.0335	64668	0.926
all	ism	7	1264	0.0181	65932	0.944
all	ism	8	1167	0.0167	67099	0.961
all	ism	9	734	0.0105	67833	0.971
all	ism	10	544	0.00779	68377	0.979
all	ism	11	382	0.00547	68759	0.984
all	ism	12	279	0.00399	69038	0.988
all	ism	13	182	0.00261	69220	0.991
all	ism	14	130	0.00186	69350	0.993
all	ism	15	97	0.00139	69447	0.994
all	ism	16	70	0.001	69517	0.995
all	ism	17	57	0.000816	69574	0.996
all	ism	18	52	0.000744	69626	0.997
all	ism	19	40	0.000573	69666	0.997
all	ism	20	32	0.000458	69698	0.998
all	ism	21	27	0.000387	69725	0.998
all	ism	22	23	0.000329	69748	0.999
all	ism	23	27	0.000387	69775	0.999
all	ism	24	18	0.000258	69793	0.999
all	ism	25	13	0.000186	69806	0.999
all	ism	26	10	0.000143	69816	1
all	ism	27	9	0.000129	69825	1
all	ism	28	7	0.0001	69832	1
all	ism	29	10	0.000143	69842	1
all	ism	30	3	4.29e-05	69845	1
all	ism	31	2	2.86e-05	69847	1
all	ism	32	1	1.43e-05	69848	1
all	ism	33	1	1.43e-05	69849	1
all	ism	34	1	1.43e-05	69850	1
all	other	1	60346	0.69	60346	0.69
all	other	2	19669	0.225	80015	0.915
all	other	3	3245	0.0371	83260	0.952
all	other	4	1275	0.0146	84535	0.967
all	other	5	915	0.0105	85450	0.977
all	other	6	693	0.00792	86143	0.985
all	other	7	383	0.00438	86526	0.989
all	other	8	467	0.00534	86993	0.995
all	other	9	115	0.00132	87108	0.996
all	other	10	73	0.000835	87181	0.997
all	other	11	33	0.000377	87214	0.997
all	other	12	48	0.000549	87262	0.998
all	other	13	29	0.000332	87291	0.998
all	other	14	30	0.000343	87321	0.999
all	other	15	18	0.000206	87339	0.999
all	other	16	30	0.000343	87369	0.999
all	other	17	18	0.000206	87387	0.999
all	other	18	19	0.000217	87406	0.999
all	other	19	10	0.000114	87416	1
all	other	20	8	9.15e-05	87424	1
all	other	21	5	5.72e-05	87429	1
all	other	22	6	6.86e-05	87435	1
all	other	23	2	2.29e-05	87437	1
all	other	24	5	5.72e-05	87442	1
all	other	25	2	2.29e-05	87444	1
all	other	26	2	2.29e-05	87446	1
all	other	27	2	2.29e-05	87448	1
all	other	28	2	2.29e-05	87450	1
