set	subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	all	1	321619	0.585	321619	0.585
all	all	2	95240	0.173	416859	0.758
all	all	3	26479	0.0481	443338	0.806
all	all	4	18336	0.0333	461674	0.839
all	all	5	12290	0.0223	473964	0.861
all	all	6	9346	0.017	483310	0.878
all	all	7	7219	0.0131	490529	0.892
all	all	8	6094	0.0111	496623	0.903
all	all	9	4868	0.00885	501491	0.911
all	all	10	4123	0.00749	505614	0.919
all	all	11	3523	0.0064	509137	0.925
all	all	12	3037	0.00552	512174	0.931
all	all	13	2574	0.00468	514748	0.936
all	all	14	2314	0.00421	517062	0.94
all	all	15	2111	0.00384	519173	0.944
all	all	16	1955	0.00355	521128	0.947
all	all	17	1641	0.00298	522769	0.95
all	all	18	1584	0.00288	524353	0.953
all	all	19	1570	0.00285	525923	0.956
all	all	20	1543	0.0028	527466	0.959
all	all	21	1541	0.0028	529007	0.961
all	all	22	1299	0.00236	530306	0.964
all	all	23	1275	0.00232	531581	0.966
all	all	24	1211	0.0022	532792	0.968
all	all	25	1128	0.00205	533920	0.97
all	all	26	1009	0.00183	534929	0.972
all	all	27	964	0.00175	535893	0.974
all	all	28	950	0.00173	536843	0.976
all	all	29	918	0.00167	537761	0.977
all	all	30	834	0.00152	538595	0.979
all	all	31	837	0.00152	539432	0.98
all	all	32	879	0.0016	540311	0.982
all	all	33	840	0.00153	541151	0.984
all	all	34	866	0.00157	542017	0.985
all	all	35	887	0.00161	542904	0.987
all	all	36	945	0.00172	543849	0.988
all	all	37	954	0.00173	544803	0.99
all	all	38	948	0.00172	545751	0.992
all	all	39	928	0.00169	546679	0.994
all	all	40	1009	0.00183	547688	0.995
all	all	41	1004	0.00182	548692	0.997
all	all	42	837	0.00152	549529	0.999
all	all	43	457	0.000831	549986	1
all	all	44	151	0.000274	550137	1
all	all	45	43	7.82e-05	550180	1
all	all	46	10	1.82e-05	550190	1
all	all	47	1	1.82e-06	550191	1
all	known	1	20850	0.206	20850	0.206
all	known	2	14304	0.141	35154	0.347
all	known	3	6558	0.0647	41712	0.411
all	known	4	5335	0.0526	47047	0.464
all	known	5	4246	0.0419	51293	0.506
all	known	6	3577	0.0353	54870	0.541
all	known	7	2993	0.0295	57863	0.571
all	known	8	2629	0.0259	60492	0.597
all	known	9	2342	0.0231	62834	0.62
all	known	10	2161	0.0213	64995	0.641
all	known	11	1955	0.0193	66950	0.66
all	known	12	1874	0.0185	68824	0.679
all	known	13	1636	0.0161	70460	0.695
all	known	14	1536	0.0152	71996	0.71
all	known	15	1513	0.0149	73509	0.725
all	known	16	1447	0.0143	74956	0.739
all	known	17	1252	0.0123	76208	0.752
all	known	18	1215	0.012	77423	0.764
all	known	19	1277	0.0126	78700	0.776
all	known	20	1287	0.0127	79987	0.789
all	known	21	1316	0.013	81303	0.802
all	known	22	1120	0.011	82423	0.813
all	known	23	1105	0.0109	83528	0.824
all	known	24	1078	0.0106	84606	0.835
all	known	25	1022	0.0101	85628	0.845
all	known	26	930	0.00917	86558	0.854
all	known	27	889	0.00877	87447	0.863
all	known	28	892	0.0088	88339	0.871
all	known	29	851	0.00839	89190	0.88
all	known	30	796	0.00785	89986	0.888
all	known	31	799	0.00788	90785	0.895
all	known	32	844	0.00832	91629	0.904
all	known	33	815	0.00804	92444	0.912
all	known	34	834	0.00823	93278	0.92
all	known	35	860	0.00848	94138	0.929
all	known	36	929	0.00916	95067	0.938
all	known	37	947	0.00934	96014	0.947
all	known	38	941	0.00928	96955	0.956
all	known	39	924	0.00911	97879	0.965
all	known	40	1004	0.0099	98883	0.975
all	known	41	1003	0.00989	99886	0.985
all	known	42	836	0.00825	100722	0.993
all	known	43	457	0.00451	101179	0.998
all	known	44	151	0.00149	101330	0.999
all	known	45	43	0.000424	101373	1
all	known	46	10	9.86e-05	101383	1
all	known	47	1	9.86e-06	101384	1
all	novel	1	197895	0.707	197895	0.707
all	novel	2	44230	0.158	242125	0.865
all	novel	3	9587	0.0343	251712	0.9
all	novel	4	6595	0.0236	258307	0.923
all	novel	5	4281	0.0153	262588	0.939
all	novel	6	3228	0.0115	265816	0.95
all	novel	7	2502	0.00894	268318	0.959
all	novel	8	2096	0.00749	270414	0.966
all	novel	9	1718	0.00614	272132	0.973
all	novel	10	1379	0.00493	273511	0.978
all	novel	11	1140	0.00407	274651	0.982
all	novel	12	853	0.00305	275504	0.985
all	novel	13	721	0.00258	276225	0.987
all	novel	14	596	0.00213	276821	0.989
all	novel	15	440	0.00157	277261	0.991
all	novel	16	392	0.0014	277653	0.992
all	novel	17	319	0.00114	277972	0.993
all	novel	18	303	0.00108	278275	0.995
all	novel	19	242	0.000865	278517	0.995
all	novel	20	201	0.000718	278718	0.996
all	novel	21	188	0.000672	278906	0.997
all	novel	22	142	0.000508	279048	0.997
all	novel	23	125	0.000447	279173	0.998
all	novel	24	108	0.000386	279281	0.998
all	novel	25	85	0.000304	279366	0.998
all	novel	26	63	0.000225	279429	0.999
all	novel	27	58	0.000207	279487	0.999
all	novel	28	44	0.000157	279531	0.999
all	novel	29	58	0.000207	279589	0.999
all	novel	30	34	0.000122	279623	0.999
all	novel	31	31	0.000111	279654	1
all	novel	32	27	9.65e-05	279681	1
all	novel	33	22	7.86e-05	279703	1
all	novel	34	29	0.000104	279732	1
all	novel	35	23	8.22e-05	279755	1
all	novel	36	14	5e-05	279769	1
all	novel	37	6	2.14e-05	279775	1
all	novel	38	6	2.14e-05	279781	1
all	novel	39	3	1.07e-05	279784	1
all	novel	40	5	1.79e-05	279789	1
all	novel	41	1	3.57e-06	279790	1
all	novel	42	1	3.57e-06	279791	1
all	ism	1	34211	0.452	34211	0.452
all	ism	2	19476	0.258	53687	0.71
all	ism	3	7192	0.0951	60879	0.805
all	ism	4	5051	0.0668	65930	0.872
all	ism	5	2720	0.036	68650	0.908
all	ism	6	1908	0.0252	70558	0.933
all	ism	7	1298	0.0172	71856	0.95
all	ism	8	1022	0.0135	72878	0.964
all	ism	9	673	0.0089	73551	0.973
all	ism	10	493	0.00652	74044	0.979
all	ism	11	364	0.00481	74408	0.984
all	ism	12	264	0.00349	74672	0.987
all	ism	13	184	0.00243	74856	0.99
all	ism	14	143	0.00189	74999	0.992
all	ism	15	135	0.00179	75134	0.994
all	ism	16	93	0.00123	75227	0.995
all	ism	17	57	0.000754	75284	0.996
all	ism	18	44	0.000582	75328	0.996
all	ism	19	42	0.000555	75370	0.997
all	ism	20	45	0.000595	75415	0.997
all	ism	21	27	0.000357	75442	0.998
all	ism	22	33	0.000436	75475	0.998
all	ism	23	36	0.000476	75511	0.999
all	ism	24	20	0.000264	75531	0.999
all	ism	25	14	0.000185	75545	0.999
all	ism	26	14	0.000185	75559	0.999
all	ism	27	15	0.000198	75574	0.999
all	ism	28	12	0.000159	75586	0.999
all	ism	29	8	0.000106	75594	1
all	ism	30	4	5.29e-05	75598	1
all	ism	31	5	6.61e-05	75603	1
all	ism	32	8	0.000106	75611	1
all	ism	33	3	3.97e-05	75614	1
all	ism	34	2	2.64e-05	75616	1
all	ism	35	3	3.97e-05	75619	1
all	ism	36	2	2.64e-05	75621	1
all	ism	37	1	1.32e-05	75622	1
all	ism	38	1	1.32e-05	75623	1
all	ism	39	1	1.32e-05	75624	1
all	other	1	68663	0.735	68663	0.735
all	other	2	17230	0.184	85893	0.92
all	other	3	3142	0.0336	89035	0.953
all	other	4	1355	0.0145	90390	0.968
all	other	5	1043	0.0112	91433	0.979
all	other	6	633	0.00678	92066	0.986
all	other	7	426	0.00456	92492	0.99
all	other	8	347	0.00372	92839	0.994
all	other	9	135	0.00145	92974	0.996
all	other	10	90	0.000964	93064	0.996
all	other	11	64	0.000685	93128	0.997
all	other	12	46	0.000493	93174	0.998
all	other	13	33	0.000353	93207	0.998
all	other	14	39	0.000418	93246	0.998
all	other	15	23	0.000246	93269	0.999
all	other	16	23	0.000246	93292	0.999
all	other	17	13	0.000139	93305	0.999
all	other	18	22	0.000236	93327	0.999
all	other	19	9	9.64e-05	93336	0.999
all	other	20	10	0.000107	93346	1
all	other	21	10	0.000107	93356	1
all	other	22	4	4.28e-05	93360	1
all	other	23	9	9.64e-05	93369	1
all	other	24	5	5.35e-05	93374	1
all	other	25	7	7.5e-05	93381	1
all	other	26	2	2.14e-05	93383	1
all	other	27	2	2.14e-05	93385	1
all	other	28	2	2.14e-05	93387	1
all	other	29	1	1.07e-05	93388	1
all	other	31	2	2.14e-05	93390	1
all	other	34	1	1.07e-05	93391	1
all	other	35	1	1.07e-05	93392	1
evaled	all	1	16	0.182	16	0.182
evaled	all	2	2	0.0227	18	0.205
evaled	all	5	1	0.0114	19	0.216
evaled	all	6	2	0.0227	21	0.239
evaled	all	7	3	0.0341	24	0.273
evaled	all	8	1	0.0114	25	0.284
evaled	all	9	2	0.0227	27	0.307
evaled	all	10	1	0.0114	28	0.318
evaled	all	11	4	0.0455	32	0.364
evaled	all	13	2	0.0227	34	0.386
evaled	all	14	2	0.0227	36	0.409
evaled	all	16	1	0.0114	37	0.42
evaled	all	17	2	0.0227	39	0.443
evaled	all	18	3	0.0341	42	0.477
evaled	all	20	2	0.0227	44	0.5
evaled	all	22	2	0.0227	46	0.523
evaled	all	23	3	0.0341	49	0.557
evaled	all	24	5	0.0568	54	0.614
evaled	all	25	2	0.0227	56	0.636
evaled	all	26	3	0.0341	59	0.67
evaled	all	27	4	0.0455	63	0.716
evaled	all	28	2	0.0227	65	0.739
evaled	all	29	1	0.0114	66	0.75
evaled	all	30	1	0.0114	67	0.761
evaled	all	31	1	0.0114	68	0.773
evaled	all	32	3	0.0341	71	0.807
evaled	all	33	2	0.0227	73	0.83
evaled	all	42	1	0.0114	74	0.841
evaled	all	43	5	0.0568	79	0.898
evaled	all	44	6	0.0682	85	0.966
evaled	all	45	2	0.0227	87	0.989
evaled	all	46	1	0.0114	88	1
evaled	supported	1	12	0.148	12	0.148
evaled	supported	2	2	0.0247	14	0.173
evaled	supported	6	2	0.0247	16	0.198
evaled	supported	7	3	0.037	19	0.235
evaled	supported	8	1	0.0123	20	0.247
evaled	supported	9	1	0.0123	21	0.259
evaled	supported	10	1	0.0123	22	0.272
evaled	supported	11	4	0.0494	26	0.321
evaled	supported	13	2	0.0247	28	0.346
evaled	supported	14	2	0.0247	30	0.37
evaled	supported	16	1	0.0123	31	0.383
evaled	supported	17	2	0.0247	33	0.407
evaled	supported	18	3	0.037	36	0.444
evaled	supported	20	2	0.0247	38	0.469
evaled	supported	22	2	0.0247	40	0.494
evaled	supported	23	3	0.037	43	0.531
evaled	supported	24	5	0.0617	48	0.593
evaled	supported	25	2	0.0247	50	0.617
evaled	supported	26	3	0.037	53	0.654
evaled	supported	27	3	0.037	56	0.691
evaled	supported	28	2	0.0247	58	0.716
evaled	supported	29	1	0.0123	59	0.728
evaled	supported	30	1	0.0123	60	0.741
evaled	supported	31	1	0.0123	61	0.753
evaled	supported	32	3	0.037	64	0.79
evaled	supported	33	2	0.0247	66	0.815
evaled	supported	42	1	0.0123	67	0.827
evaled	supported	43	5	0.0617	72	0.889
evaled	supported	44	6	0.0741	78	0.963
evaled	supported	45	2	0.0247	80	0.988
evaled	supported	46	1	0.0123	81	1
evaled	unsupported	1	4	0.571	4	0.571
evaled	unsupported	5	1	0.143	5	0.714
evaled	unsupported	9	1	0.143	6	0.857
evaled	unsupported	27	1	0.143	7	1
known	all	11	1	0.0417	1	0.0417
known	all	13	1	0.0417	2	0.0833
known	all	20	1	0.0417	3	0.125
known	all	22	1	0.0417	4	0.167
known	all	23	1	0.0417	5	0.208
known	all	24	1	0.0417	6	0.25
known	all	25	1	0.0417	7	0.292
known	all	26	1	0.0417	8	0.333
known	all	27	1	0.0417	9	0.375
known	all	42	1	0.0417	10	0.417
known	all	43	5	0.208	15	0.625
known	all	44	6	0.25	21	0.875
known	all	45	2	0.0833	23	0.958
known	all	46	1	0.0417	24	1
known	supported	11	1	0.0435	1	0.0435
known	supported	13	1	0.0435	2	0.087
known	supported	20	1	0.0435	3	0.13
known	supported	22	1	0.0435	4	0.174
known	supported	23	1	0.0435	5	0.217
known	supported	24	1	0.0435	6	0.261
known	supported	25	1	0.0435	7	0.304
known	supported	26	1	0.0435	8	0.348
known	supported	42	1	0.0435	9	0.391
known	supported	43	5	0.217	14	0.609
known	supported	44	6	0.261	20	0.87
known	supported	45	2	0.087	22	0.957
known	supported	46	1	0.0435	23	1
known	unsupported	27	1	1	1	1
novel	all	1	16	0.25	16	0.25
novel	all	2	2	0.0312	18	0.281
novel	all	5	1	0.0156	19	0.297
novel	all	6	2	0.0312	21	0.328
novel	all	7	3	0.0469	24	0.375
novel	all	8	1	0.0156	25	0.391
novel	all	9	2	0.0312	27	0.422
novel	all	10	1	0.0156	28	0.438
novel	all	11	3	0.0469	31	0.484
novel	all	13	1	0.0156	32	0.5
novel	all	14	2	0.0312	34	0.531
novel	all	16	1	0.0156	35	0.547
novel	all	17	2	0.0312	37	0.578
novel	all	18	3	0.0469	40	0.625
novel	all	20	1	0.0156	41	0.641
novel	all	22	1	0.0156	42	0.656
novel	all	23	2	0.0312	44	0.688
novel	all	24	4	0.0625	48	0.75
novel	all	25	1	0.0156	49	0.766
novel	all	26	2	0.0312	51	0.797
novel	all	27	3	0.0469	54	0.844
novel	all	28	2	0.0312	56	0.875
novel	all	29	1	0.0156	57	0.891
novel	all	30	1	0.0156	58	0.906
novel	all	31	1	0.0156	59	0.922
novel	all	32	3	0.0469	62	0.969
novel	all	33	2	0.0312	64	1
novel	supported	1	12	0.207	12	0.207
novel	supported	2	2	0.0345	14	0.241
novel	supported	6	2	0.0345	16	0.276
novel	supported	7	3	0.0517	19	0.328
novel	supported	8	1	0.0172	20	0.345
novel	supported	9	1	0.0172	21	0.362
novel	supported	10	1	0.0172	22	0.379
novel	supported	11	3	0.0517	25	0.431
novel	supported	13	1	0.0172	26	0.448
novel	supported	14	2	0.0345	28	0.483
novel	supported	16	1	0.0172	29	0.5
novel	supported	17	2	0.0345	31	0.534
novel	supported	18	3	0.0517	34	0.586
novel	supported	20	1	0.0172	35	0.603
novel	supported	22	1	0.0172	36	0.621
novel	supported	23	2	0.0345	38	0.655
novel	supported	24	4	0.069	42	0.724
novel	supported	25	1	0.0172	43	0.741
novel	supported	26	2	0.0345	45	0.776
novel	supported	27	3	0.0517	48	0.828
novel	supported	28	2	0.0345	50	0.862
novel	supported	29	1	0.0172	51	0.879
novel	supported	30	1	0.0172	52	0.897
novel	supported	31	1	0.0172	53	0.914
novel	supported	32	3	0.0517	56	0.966
novel	supported	33	2	0.0345	58	1
novel	unsupported	1	4	0.667	4	0.667
novel	unsupported	5	1	0.167	5	0.833
novel	unsupported	9	1	0.167	6	1
