type	subtype	support	count	rate
genes			88	
targets			89	
transcripts			88	
transcripts	any	total	88	100.0
transcripts	any	supported	81	92.0
transcripts	any	unsupported	7	8.0
transcripts	known	total	24	100.0
transcripts	known	supported	23	95.8
transcripts	known	unsupported	1	4.2
transcripts	novel	total	64	100.0
transcripts	novel	supported	58	90.6
transcripts	novel	unsupported	6	9.4
transcripts	ism	total	0	0.0
transcripts	ism	supported	0	0.0
transcripts	ism	unsupported	0	0.0
transcripts	other	total	0	0.0
transcripts	other	supported	0	0.0
transcripts	other	unsupported	0	0.0
