name	value
genes	35
targets	79
transcripts	76
gencodeAllCount	76
gencodeAllSupported	49
gencodeAllSupportedRate	64.5
gencodeAllUnsupported	27
gencodeAllUnsupportedRate	35.5
gencodeKnownCount	27
gencodeKnownSupported	22
gencodeKnownSupportedRate	81.5
gencodeKnownUnsupported	5
gencodeKnownUnsupportedRate	18.5
gencodeNovelCount	40
gencodeNovelSupported	25
gencodeNovelSupportedRate	62.5
gencodeNovelUnsupported	15
gencodeNovelUnsupportedRate	37.5
gencodeRejectedCount	9
gencodeRejectedSupported	2
gencodeRejectedSupportedRate	22.2
gencodeRejectedUnsupported	7
gencodeRejectedUnsupportedRate	77.8
