set	subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	all	1	567610	0.548	567610	0.548
all	all	2	295786	0.286	863396	0.834
all	all	3	11779	0.0114	875175	0.845
all	all	4	5288	0.00511	880463	0.85
all	all	5	46	4.44e-05	880509	0.85
all	all	6	7	6.76e-06	880516	0.85
all	known	1	51	0.543	51	0.543
all	known	2	27	0.287	78	0.83
all	known	3	7	0.0745	85	0.904
all	known	4	7	0.0745	92	0.979
all	known	6	2	0.0213	94	1
all	novel	1	2127	0.982	2127	0.982
all	novel	2	34	0.0157	2161	0.998
all	novel	3	4	0.00185	2165	1
all	novel	4	1	0.000462	2166	1
all	ism	1	227	0.825	227	0.825
all	ism	2	40	0.145	267	0.971
all	ism	3	8	0.0291	275	1
all	other	1	565205	0.547	565205	0.547
all	other	2	295685	0.286	860890	0.833
all	other	3	11760	0.0114	872650	0.845
all	other	4	5280	0.00511	877930	0.85
all	other	5	46	4.45e-05	877976	0.85
all	other	6	5	4.84e-06	877981	0.85
evaled	all	1	9	0.346	9	0.346
evaled	all	2	11	0.423	20	0.769
evaled	all	3	4	0.154	24	0.923
evaled	all	4	2	0.0769	26	1
evaled	supported	1	6	0.3	6	0.3
evaled	supported	2	8	0.4	14	0.7
evaled	supported	3	4	0.2	18	0.9
evaled	supported	4	2	0.1	20	1
evaled	unsupported	1	3	0.5	3	0.5
evaled	unsupported	2	3	0.5	6	1
known	all	2	2	0.667	2	0.667
known	all	4	1	0.333	3	1
known	supported	2	1	0.5	1	0.5
known	supported	4	1	0.5	2	1
known	unsupported	2	1	1	1	1
novel	all	1	8	0.421	8	0.421
novel	all	2	7	0.368	15	0.789
novel	all	3	3	0.158	18	0.947
novel	all	4	1	0.0526	19	1
novel	supported	1	5	0.357	5	0.357
novel	supported	2	5	0.357	10	0.714
novel	supported	3	3	0.214	13	0.929
novel	supported	4	1	0.0714	14	1
novel	unsupported	1	3	0.6	3	0.6
novel	unsupported	2	2	0.4	5	1
ism	all	1	1	0.25	1	0.25
ism	all	2	2	0.5	3	0.75
ism	all	3	1	0.25	4	1
ism	supported	1	1	0.25	1	0.25
ism	supported	2	2	0.5	3	0.75
ism	supported	3	1	0.25	4	1
