subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	1	567610	0.548	567610	0.548
all	2	295786	0.286	863396	0.834
all	3	11779	0.0114	875175	0.845
all	4	5288	0.00511	880463	0.85
all	5	46	4.44e-05	880509	0.85
all	6	7	6.76e-06	880516	0.85
eval	1	9	0.346	9	0.346
eval	2	11	0.423	20	0.769
eval	3	4	0.154	24	0.923
eval	4	2	0.0769	26	1
supported	1	6	0.3	6	0.3
supported	2	8	0.4	14	0.7
supported	3	4	0.2	18	0.9
supported	4	2	0.1	20	1
unsupported	1	3	0.5	3	0.5
unsupported	2	3	0.5	6	1
knownEval	2	2	0.667	2	0.667
knownEval	4	1	0.333	3	1
knownSupported	2	1	0.5	1	0.5
knownSupported	4	1	0.5	2	1
knownUnsupported	2	1	1	1	1
novelEval	1	8	0.421	8	0.421
novelEval	2	7	0.368	15	0.789
novelEval	3	3	0.158	18	0.947
novelEval	4	1	0.0526	19	1
novelSupported	1	5	0.357	5	0.357
novelSupported	2	5	0.357	10	0.714
novelSupported	3	3	0.214	13	0.929
novelSupported	4	1	0.0714	14	1
novelUnsupported	1	3	0.6	3	0.6
novelUnsupported	2	2	0.4	5	1
ismEval	1	1	0.25	1	0.25
ismEval	2	2	0.5	3	0.75
ismEval	3	1	0.25	4	1
ismSupported	1	1	0.25	1	0.25
ismSupported	2	2	0.5	3	0.75
ismSupported	3	1	0.25	4	1
