tool	platform	library_prep	data_category	pipeline_code
Bambu	ONT	CapTrap	long_only	pipeline1
Bambu	PacBio	CapTrap	long_only	pipeline2
Bambu	ONT	cDNA	long_only	pipeline3
Bambu	PacBio	cDNA	long_only	pipeline4
Bambu	ONT	dRNA	long_only	pipeline5
Bambu	ONT	R2C2	long_only	pipeline6
FLAIR	ONT	cDNA	long_only	pipeline7
FLAIR	ONT	cDNA	long_short	pipeline8
FLAIR	PacBio	cDNA	long_only	pipeline9
FLAIR	PacBio	cDNA	long_short	pipeline10
FLAIR	ONT	dRNA	long_only	pipeline11
FLAIR	ONT	dRNA	long_short	pipeline12
LyRic	ONT	CapTrap	long_only	pipeline13
LyRic	PacBio	CapTrap	long_only	pipeline14
LyRic	ONT	cDNA	long_only	pipeline15
LyRic	PacBio	cDNA	long_only	pipeline16
LyRic	ONT	dRNA	long_only	pipeline17
LyRic	ONT	R2C2	long_only	pipeline18
IsoTools	PacBio	cDNA	long_only	pipeline19
Mandalorion	PacBio	cDNA	long_only	pipeline20
Mandalorion	PacBio,ONT	cDNA,R2C2	long_only	pipeline21
Mandalorion	ONT	R2C2	long_only	pipeline22
Iso_IB	PacBio	cDNA	long_only	pipeline23
FLAMES	ONT	CapTrap	long_only	pipeline24
FLAMES	PacBio	CapTrap	long_only	pipeline25
FLAMES	ONT	cDNA	long_only	pipeline26
FLAMES	ONT	dRNA	long_only	pipeline27
IsoQuant	ONT	CapTrap	long_only	pipeline28
IsoQuant	PacBio	CapTrap	long_only	pipeline29
IsoQuant	ONT	cDNA	long_only	pipeline30
IsoQuant	PacBio	cDNA	long_only	pipeline31
IsoQuant	ONT	dRNA	long_only	pipeline32
IsoQuant	ONT	R2C2	long_only	pipeline33
Spectra	PacBio	cDNA	long_only	pipeline34
TALON	ONT	CapTrap	long_only	pipeline35
TALON	ONT	CapTrap	long_short	pipeline36
TALON	PacBio	CapTrap	long_only	pipeline37
TALON	PacBio	CapTrap	long_short	pipeline38
TALON	ONT	cDNA	long_only	pipeline39
TALON	ONT	cDNA	long_short	pipeline40
TALON	PacBio	cDNA	long_only	pipeline41
TALON	PacBio	cDNA	long_short	pipeline42
TALON	ONT	dRNA	long_only	pipeline43
TALON	ONT	dRNA	long_short	pipeline44
TALON	ONT	R2C2	long_only	pipeline45
TALON	ONT	R2C2	long_short	pipeline46
StringTie2	ONT	dRNA	long_short	pipeline47
