subset	pipelineCnts	transcripts	rate	cumulativeCnt	cumulativeRate
all	1	321619	0.585	321619	0.585
all	2	95240	0.173	416859	0.758
all	3	26479	0.0481	443338	0.806
all	4	18336	0.0333	461674	0.839
all	5	12290	0.0223	473964	0.861
all	6	9346	0.017	483310	0.878
all	7	7219	0.0131	490529	0.892
all	8	6094	0.0111	496623	0.903
all	9	4868	0.00885	501491	0.911
all	10	4123	0.00749	505614	0.919
all	11	3523	0.0064	509137	0.925
all	12	3037	0.00552	512174	0.931
all	13	2574	0.00468	514748	0.936
all	14	2314	0.00421	517062	0.94
all	15	2111	0.00384	519173	0.944
all	16	1955	0.00355	521128	0.947
all	17	1641	0.00298	522769	0.95
all	18	1584	0.00288	524353	0.953
all	19	1570	0.00285	525923	0.956
all	20	1543	0.0028	527466	0.959
all	21	1541	0.0028	529007	0.961
all	22	1299	0.00236	530306	0.964
all	23	1275	0.00232	531581	0.966
all	24	1211	0.0022	532792	0.968
all	25	1128	0.00205	533920	0.97
all	26	1009	0.00183	534929	0.972
all	27	964	0.00175	535893	0.974
all	28	950	0.00173	536843	0.976
all	29	918	0.00167	537761	0.977
all	30	834	0.00152	538595	0.979
all	31	837	0.00152	539432	0.98
all	32	879	0.0016	540311	0.982
all	33	840	0.00153	541151	0.984
all	34	866	0.00157	542017	0.985
all	35	887	0.00161	542904	0.987
all	36	945	0.00172	543849	0.988
all	37	954	0.00173	544803	0.99
all	38	948	0.00172	545751	0.992
all	39	928	0.00169	546679	0.994
all	40	1009	0.00183	547688	0.995
all	41	1004	0.00182	548692	0.997
all	42	837	0.00152	549529	0.999
all	43	457	0.000831	549986	1
all	44	151	0.000274	550137	1
all	45	43	7.82e-05	550180	1
all	46	10	1.82e-05	550190	1
all	47	1	1.82e-06	550191	1
eval	1	16	0.182	16	0.182
eval	2	2	0.0227	18	0.205
eval	5	1	0.0114	19	0.216
eval	6	2	0.0227	21	0.239
eval	7	3	0.0341	24	0.273
eval	8	1	0.0114	25	0.284
eval	9	2	0.0227	27	0.307
eval	10	1	0.0114	28	0.318
eval	11	4	0.0455	32	0.364
eval	13	2	0.0227	34	0.386
eval	14	2	0.0227	36	0.409
eval	16	1	0.0114	37	0.42
eval	17	2	0.0227	39	0.443
eval	18	3	0.0341	42	0.477
eval	20	2	0.0227	44	0.5
eval	22	2	0.0227	46	0.523
eval	23	3	0.0341	49	0.557
eval	24	5	0.0568	54	0.614
eval	25	2	0.0227	56	0.636
eval	26	3	0.0341	59	0.67
eval	27	4	0.0455	63	0.716
eval	28	2	0.0227	65	0.739
eval	29	1	0.0114	66	0.75
eval	30	1	0.0114	67	0.761
eval	31	1	0.0114	68	0.773
eval	32	3	0.0341	71	0.807
eval	33	2	0.0227	73	0.83
eval	42	1	0.0114	74	0.841
eval	43	5	0.0568	79	0.898
eval	44	6	0.0682	85	0.966
