transcript	platformBarcode	libraryBarcode	dataCetegory	platformLibraryBarcode	tssStdDev	ttsStdDev	numExons	length	mediaCpm	associatedGene	pbPlatformCount	ontPlatformCount	freestylePlatformCount	cDNAPrepCount	dRNAPrepCount	capTrapPrepCount	r2c2PrepCount	freestylePrepCount	longOnlyCatCount	longShortCatCount	freeStyleCatCount
NIC_214405	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	10	4109	43.6250371604062	ENSG00000074800.16	1	0	0	1	0	0	0	0	1	0	0
NIC_54729	10,3,0	10,0,0,3,0	12,2,0	10,0,0,0,0,3	14.0931773230462	356.577501682148	3	2271	7.38886897851179	ENSG00000142634.13	10	3	0	10	0	0	3	0	12	2	0
NNC_380057	0,1,0	0,0,1,0,0	1,0,0	0,0,0,0,1,0	NaN	NaN	3	945	118.713959905695	ENSG00000117318.9	0	1	0	0	0	1	0	0	1	0	0
NNC_63170	13,10,0	10,3,6,4,0	17,7,0	8,5,2,3,1,4	31.3581462037113	96.1560382693265	10	1489	18.4182070961058	ENSG00000090273.14	13	10	0	10	3	6	4	0	17	7	0
NNC_79612	1,5,0	2,2,1,1,0	5,1,0	0,1,2,2,0,1	7.22956891292051	5.60059520646392	4	992	15.0923894411224	ENSG00000242125.3	1	5	0	2	2	1	1	0	5	1	0
NNC_39338	12,19,0	13,8,6,4,0	26,6,0	9,3,4,8,3,4	16.5485600192185	1.58591329136934	6	607	11.5508900941523	ENSG00000081870.12	12	19	0	13	8	6	4	0	26	6	0
NNC_63198	9,6,0	6,0,8,1,0	12,4,0	5,4,1,0,4,1	153.392402571531	6.23832242407097	9	1622	4.49013099349479	ENSG00000116212.15	9	6	0	6	0	8	1	0	12	4	0
NNC_39352	0,5,0	2,0,1,2,0	5,0,0	0,0,2,0,1,2	4	1.6431676725155	15	1978	21.6182727492642	ENSG00000088035.18	0	5	0	2	0	1	2	0	5	0	0
FSM_1823	16,25,0	19,7,10,5,0	33,9,0	11,5,8,7,5,5	10.6979055297872	325.981390741304	3	2769	12.8361092709368	ENSG00000215717.7	16	25	0	19	7	10	5	0	33	9	0
FSM_607	16,26,0	18,8,11,5,0	33,10,0	11,5,7,8,6,5	18.0344815538718	1.63333220331283	5	1375	78.3738677775173	ENSG00000158710.15	16	26	0	18	8	11	5	0	33	10	0
NIC_387124	0,7,0	6,0,1,0,0	5,2,0	0,0,6,0,1,0	35.349277624464	0.487950036474267	10	2052	4.70334585755793	ENSG00000158773.14	0	7	0	6	0	1	0	0	5	2	0
NIC_78892	0,6,0	4,0,0,2,0	6,1,0	0,0,4,0,0,2	3.77964473009227	5.96417878432803	5	1239	3.3528836933416	ENSG00000143252.16	0	6	0	4	0	0	2	0	6	1	0
FSM_913	16,27,0	19,8,10,6,0	34,10,0	11,5,8,8,5,6	12.8122727897144	2.27031584543979	8	2134	25.0253088124716	ENSG00000117650.13	16	27	0	19	8	10	6	0	34	10	0
NNC_117384	13,14,0	11,4,7,5,0	21,7,0	8,5,3,4,2,5	105.413051428234	762.728901299064	3	1889	15.448170827663	ENSG00000156574.10	13	14	0	11	4	7	5	0	21	7	0
NIC_39183	16,16,0	14,6,9,3,0	26,7,0	10,6,4,6,3,3	17.9228939684731	215.421672064052	3	1014	10.9730739054816	ENSG00000166295.9	16	16	0	14	6	9	3	0	26	7	0
FSM_4157	16,26,0	17,8,12,5,0	33,10,0	10,6,7,8,6,5	72.4910914066917	34.0174899992686	7	1431	182.684832755574	ENSG00000107438.9	16	26	0	17	8	12	5	0	33	10	0
NIC_222079	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	9	1961	14.7226149528706	ENSG00000134333.14	1	0	0	1	0	0	0	0	1	0	0
NIC_39196	1,9,0	6,0,3,1,0	10,1,0	0,1,6,0,2,1	13.8839344698697	0	2	796	1.524038042428	ENSG00000168061.17	1	9	0	6	0	3	1	0	10	1	0
FSM_374933	1,12,0	7,0,2,4,0	10,3,0	0,1,7,0,1,4	8.88386610227084	3.33205103540809	18	2676	3.225813388846	ENSG00000254986.8	1	12	0	7	0	2	4	0	10	3	0
NIC_531654	0,1,0	0,1,0,0,0	0,1,0	0,0,0,1,0,0	NaN	NaN	25	4116	86.9050058022959	ENSG00000135424.19	0	1	0	0	1	0	0	0	0	1	0
FSM_7648	17,27,0	19,8,11,6,0	35,10,0	11,6,8,8,5,6	29.6922751852019	277.442777308855	3	1207	58.532068687515	ENSG00000170473.17	17	27	0	19	8	11	6	0	35	10	0
FSM_7937	17,27,0	18,8,12,6,0	36,9,0	11,6,7,8,6,6	62.2821293499479	461.40078974305	3	2797	67.3890103000358	ENSG00000139318.8	17	27	0	18	8	12	6	0	36	9	0
NIC_56020	10,3,0	10,1,0,2,0	11,3,0	10,0,0,1,0,2	87.1770098360574	1842.68173339517	3	4788.5	3.58186718921179	ENSG00000111412.6	10	3	0	10	1	0	2	0	11	3	0
FSM_11094	4,16,0	7,0,9,4,0	15,5,0	0,4,7,0,5,4	13.4574377791223	35.4252363213155	10	1389	0.739834385386743	ENSG00000100764.14	4	16	0	7	0	9	4	0	15	5	0
NNC_381534	0,6,0	5,0,1,0,0	5,1,0	0,0,5,0,1,0	0	0	5	933	2.04396918642243	ENSG00000166710.22	0	6	0	5	0	1	0	0	5	1	0
NNC_388728	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	8	2457	13.6607901125952	ENSG00000140263.15	0	1	0	1	0	0	0	0	1	0	0
FSM_12039	3,19,0	7,4,7,4,0	17,6,0	0,3,7,4,4,4	44.1159987291857	518.196690723397	3	1595	0.896482293129987	ENSG00000259577.2	3	19	0	7	4	7	4	0	17	6	0
