target	transcript	transcript_len	amplicon_len
GZMK_beg	FSM-11716	1796	671
GZMK_end	FSM-11716	1796	78
GZMK_full	FSM-11716	1796	727
IL1B+2_long	ISM-113494	3782	1586
IL1B+2_long	NIC-118574	4683	2584
IL1B+2_long5	NIC-118574	4683	379
IL1B+2_long5	ISM-113494	3782	1396
IL1B+3	ISM-113495	2037	1195
IL1B+3	NNC-250679	1462	178
IL1B+3	NNC-250681	1584	178
IL1B+3	NNC-130497	1157	178
IL1B+3	NNC-250680	1323	178
IL1B+3	ISM-113496	1845	178
IL1B+3	NNC-130498	1796	178
IL1B+3	NNC-130500	3846	178
IL1B+3	NNC-297076	1563	178
IL1B+3	ISM-113494	3782	1195
IL1B+3	NIC-118574	4683	178
IL1B+5	NNC-250680	1323	1200
IL1B+5	NNC-130500	3846	2264
IL1B+5	NNC-130498	1796	1266
IL1B+5	NNC-130497	1157	916
IL1B+5	NNC-250681	1584	1343
IL1B+5	NNC-250679	1462	1258
IL1B+5	ISM-113496	1845	1266
IL1B+5	NNC-297076	1563	1266
IL1B+6	ISM-113496	1845	1699
IL1B+6_long	NNC-130500	3846	1208
IL1B+7	NNC-130498	1796	1635
IL1B+7	NNC-130500	3846	2633
IL1B+8	NNC-297076	1563	1388
IL1B+8	NNC-130500	3846	2386
IL1B+8	NNC-130498	1796	1388
IL1B+8	NNC-130497	1157	1038
IL1B+8	NNC-250681	1584	1465
IL1B+8	NNC-250679	1462	1346
IL2	FSM-11703	670	335
IL7+2	NNC-298417	3955	611
IL7+2	NNC-252608	3191	611
IL7+2	NNC-298416	7336	2415
IL7_long_beg	NNC-298416	7336	1379
IL7_short	ISM-314146	1582	529
PTX3	NIC-121112	1670	318
SPP1_beg	NNC-123200	1476	536
SPP1_end	NNC-123200	1476	223
SPP1_full	NNC-123200	1476	637
TAP+1_long	NNC-303935	3079	1295
TAP_short	FSM-158881	2516	756
TAP_short	NNC-145259	2727	818
TAP_short	NNC-145266	2847	871
TNFAIP3+1	NNC-302078	3530	1014
TNFAIP3+1	NNC-141786	3616	1107
TNFAIP3+1	NNC-141787	3987	1760
