gene	target	transcript	plat	chain	chain_in2	sim_100	sim_98	sim_95	indel_0	indel_2	category	reason	notes
ALG6	ALG6+1	NNC_39352	pb	10	0	0	46048	48411	0	0	unsupported		U12 intron GT-AT; not aligned my minimap;forced into a GT–AG intron plus a six base genomic deletion.
ALG6	ALG6+1	NNC_39352	ont	4930	3	0	41805	54351	0	1	unsupported		
ALG6	ALG6+1	NNC_39352	cntl	1	1	1	1	1	1	1	unsupported		
ANAPC16	ANAPC16+1	NIC_39183	pb	1685	1590	538	1329	1371	581	1252	supported		
ANAPC16	ANAPC16+1	NIC_39183	ont	14490	7816	949	5545	6828	949	2737	supported		
ANAPC16	ANAPC16+1	NIC_39183	cntl	1	1	1	1	1	1	1	supported		
ANKMY2	ANKMY2+1	FSM_32744	pb	1	1	1	1	1	1	1	likely		only one PB read, however
ANKMY2	ANKMY2+1	FSM_32744	ont	0	0	0	0	0	0	0	likely		
ANKMY2	ANKMY2+1	FSM_32744	cntl	1	1	1	1	1	1	1	likely		
APMAP	APMAP+1	NIC_59594	pb	1036	948	445	842	879	447	634	supported		
APMAP	APMAP+1	NIC_59594	ont	9268	1837	42	1782	5064	42	260	supported		
APMAP	APMAP+1	NIC_59594	cntl	1	1	1	1	1	1	1	supported		
ARPC2	ARPC2+1	NIC_485306	pb	1	0	3419	5957	6412	3510	4703	supported	end exon	Initial exon is not aliigned due to being short and having repeative sequence in the intron just before the second exon amd is extended into the intron after clipping 2 bases.
ARPC2	ARPC2+1	NIC_485306	ont	0	0	1325	8730	10874	1325	3630	supported	end exon	
ARPC2	ARPC2+1	NIC_485306	cntl	0	0	1	1	1	1	1	supported	end exon	
ASNS	ASNS+1	FSM_33192	pb	0	0	798	1968	2450	888	1350	supported	end exon	Unaligned small initial exon with 7 bases soft-clipped 
ASNS	ASNS+1	FSM_33192	ont	0	0	24	886	2030	24	132	supported	end exon	
ASNS	ASNS+1	FSM_33192	cntl	0	0	1	1	1	1	1	supported	end exon	
ASNSD1	ASNSD1+1	NIC_59301	pb	10410	8591	4517	10962	79391	4587	7745	supported		
ASNSD1	ASNSD1+1	NIC_59301	ont	5306	127	0	2244	8326	0	0	supported		
ASNSD1	ASNSD1+1	NIC_59301	cntl	1	1	1	1	1	1	1	supported		
B2M	B2M+1	NNC_381534	pb	0	0	11662	16321	16707	12523	15948	supported	end exon	
B2M	B2M+1	NNC_381534	ont	29	13	1380	16263	30490	1380	4728	supported	end exon	
B2M	B2M+1	NNC_381534	cntl	0	0	1	1	1	1	1	supported	end exon	
CALB1	CALB1+1	NNC_75451	pb	75	67	21	50	61	21	40	supported		
CALB1	CALB1+1	NNC_75451	ont	290	144	12	135	181	12	44	supported		
CALB1	CALB1+1	NNC_75451	cntl	1	1	1	1	1	1	1	supported		
CALM2	CALM2+1	FSM_21072	pb	31	27	9155	20985	32794	9713	17054	supported		
CALM2	CALM2+1	FSM_21072	ont	18	2	30	2037	15124	30	204	supported		
CALM2	CALM2+1	FSM_21072	cntl	0	0	1	1	1	1	1	supported		
CC2D2A	CC2D2A+1	NIC_532252	pb	546	491	92	465	510	94	167	supported		
