transcript	LRGASP_id
FSM-11703	Intergenic_contig_12072_pilon_-_26108_27938_28074_31038_31099_31190
FSM-11716	Intergenic_contig_12137_pilon_+_358596_358875_359024_371703_371855_372605_372876_374809
FSM-158881	Intergenic_contig_7963_pilon_+_246877_247606_247738_248514_248721_249146_249345_250120_250250_250407_250597_251106_251281_251519_251683_251956_252094_252903
ISM-113494	Intergenic_contig_14815_pilon_-_17319_18316
ISM-113495	Intergenic_contig_14815_pilon_-_17319_18316_18448_19747
ISM-113496	Intergenic_contig_14815_pilon_-_17319_18316_18448_19747_19901_20917_21111_22059_22112_22702
ISM-314146	Intergenic_contig_18545_pilon_+_303499_308460
NIC-118574	Intergenic_contig_14815_pilon_-_19901_20917
NIC-121112	Intergenic_contig_6343_pilon_-_284695_289630
NNC-123200	Intergenic_contig_10129_pilon_+_179247_180347_180416_180523_180566_182560_182642_182916_182959_183796_184121_184855
NNC-130497	Intergenic_contig_14815_pilon_-_16737_17086_17319_18316_18448_19747_19901_20917_21111_22059_22112_22702_22765_23250
NNC-130498	Intergenic_contig_14815_pilon_-_17319_18316_18448_19747_19901_20917_21111_22059_22112_22702_22765_23250
NNC-130500	Intergenic_contig_14815_pilon_-_18448_19747_19901_20917_21111_22059_22112_22702_22765_23250
NNC-141786	Intergenic_contig_6299_pilon_+_952879_956535_956846_960604_960796_961448_961597_961938_962110_963194_963376_964792_965713_966637_966820_967778
NNC-141787	Intergenic_contig_6299_pilon_+_956846_960604_961597_961938_962110_963194_963376_964792_965713_966637_966820_967778
NNC-145259	Intergenic_contig_7963_pilon_+_246455_246507_246877_247359_247475_247606_247738_248514_248721_249146_249345_250120_250250_250407_250597_251106_251281_251519_251683_251956_252094_252903
NNC-145266	Intergenic_contig_7963_pilon_+_246877_247359_247475_247606_247738_248514_248721_249146_249345_250120_250250_250407_250597_251106_251281_251519_251683_251956_252094_252903
NNC-250679	Intergenic_contig_14815_pilon_-_17319_18316_18440_19747_19901_20917_21111_22059_22140_23250
NNC-250680	Intergenic_contig_14815_pilon_-_17319_18316_18448_19747_19901_20917_21045_22059
NNC-250681	Intergenic_contig_14815_pilon_-_17319_18316_18448_19747_19901_20917_21077_21948_22112_22702_22765_23250
NNC-252608	Intergenic_contig_18545_pilon_+_249342_257583_257718_301890_301972_303366_303499_305302_305357_308460
NNC-297076	Intergenic_contig_14815_pilon_-_13571_16457_17319_18316_18448_19747_19901_20917_21111_22059_22112_22702_22765_23250
NNC-298416	Intergenic_contig_18545_pilon_+_249342_257583_257718_301890_301972_303366_305357_308460
NNC-298417	Intergenic_contig_18545_pilon_+_249342_257640_257718_301890_301972_303366_303499_305302_305357_308460
NNC-302078	Intergenic_contig_6299_pilon_+_952879_956535_956846_960604_960796_961448_961597_961938_962110_963194_963376_964792_965074_965166_965713_966637_966820_967778
NNC-303935	Intergenic_contig_7963_pilon_+_246877_247359_247475_247606_247738_248514_248721_249146_249345_250120_250250_250407_250597_251106_251281_251519_251683_251956_252094_252903_253521_265708
