transcript	LRGASP_id
FSM_11094	FSM_chr14_+_90256601_90259159_90259214_90263317_90263443_90263661_90263848_90264040_90264170_90265069_90265167_90268223_90268414_90269396_90269549_90270197_90270353_90272272
FSM_12039	FSM_chr15_+_52180402_52181049_52181203_52204888
FSM_12847	FSM_chr16_-_56432734_56434330_56434446_56434753_56434830_56439656_56439747_56446625_56446690_56447788_56447990_56451086
FSM_16709	FSM_chr17_+_997381_998778_998976_999511_999585_1001011
FSM_1823	FSM_chr1_+_109090883_109092889_109093022_109094416
FSM_18744	FSM_chr19_+_10701704_10701949_10702019_10702115_10702255_10707301_10707381_10707499_10707616_10712160_10712300_10712552_10712629_10712757_10712868_10712952_10713041_10713117
FSM_19966	FSM_chr19_+_55648278_55649001_55649078_55649204_55649310_55649407_55649585_55651282_55651496_55652429
FSM_21072	FSM_chr2_-_47160805_47161722_47161859_47162285_47162393_47162518_47162663_47170733_47170765_47172413_47172460_47176440
FSM_26800	FSM_chr3_+_23806089_23807236_23807422_23887566_23887700_23889111_23889260_23890508
FSM_27088	FSM_chr3_+_51671289_51674270_51674563_51684412_51684635_51699405_51699575_51703723
FSM_28408	FSM_chr4_+_52862650_52863267_52863325_52864477_52864555_52865334
FSM_28983	FSM_chr5_-_16451785_16453012_16453157_16458516_16458630_16463107_16463271_16463481_16463743_16465040
FSM_32744	FSM_chr7_-_16600946_16602379_16602510_16604720_16604850_16609629_16609766_16610548_16610764_16615743_16615905_16624982_16625082_16627039_16627179_16636390_16636456_16645506
FSM_33192	FSM_chr7_-_97852469_97853059_97853216_97853304_97853387_97854579_97854681_97855352_97855460_97856689_97856817_97858277_97858406_97858853_97858956_97859212_97859399_97864258_97864497_97868907_97869106_97872350
FSM_34168	FSM_chr8_-_102650392_102651148_102652062_102652163_102652398_102655565
FSM_374933	FSM_chr11_+_66480466_66482179_66482471_66485172_66485263_66486539_66486678_66487267_66487343_66487913_66488008_66491252_66491384_66491493_66491625_66491697_66491757_66492715_66492911_66493066_66493180_66493540_66493634_66495205_66495269_66495364_66495490_66495629_66495751_66497297_66497478_66504611_66504775_66509078
FSM_4157	FSM_chr10_-_95238112_95238567_95238686_95247214_95247367_95263863_95264064_95268777_95268863_95271632_95271785_95290819
FSM_44519	FSM_chr17_-_28399714_28400609_28400767_28402237_28402322_28404615_28405469_28405886
FSM_45682	FSM_chr19_-_58514311_58516394_58517674_58519741
FSM_45884	FSM_chr19_+_35937556_35939409_35940841_35944547
FSM_607	FSM_chr1_-_159918942_159919273_159919377_159919660_159919836_159920329_159920538_159925449
FSM_7648	FSM_chr12_-_55902356_55903386_55903481_55927724
FSM_7937	FSM_chr12_-_89349562_89350587_89351026_89351639
FSM_913	FSM_chr1_-_211663653_211667105_211667232_211669112_211669333_211670280_211670408_211671201_211671285_211673482_211673724_211674295_211674514_211675383
NIC_214405	NIC_chr1_-_8861430_8862886_8863344_8863890_8864093_8865284_8865483_8866278_8866502_8867116_8867251_8867987_8868058_8871890_8871987_8874823_8874918_8878579
NIC_222079	NIC_chr11_+_18394887_18396818_18396969_18399430_18399549_18400629_18400746_18400836_18401011_18402839_18403014_18403693_18403812_18405448_18405573_18407116
NIC_256041	NIC_chr3_+_184299402_184299850_184299908_184300279_184300445_184301536_184302072_184302678_184302824_184303001_184303063_184303319_184303467_184303642_184303750_184303946_184304075_184304303_184304392_184305767_184305931_184306053_184306156_184306349_184306496_184306750_184306835_184307356_184307526_184307613_184307709_184307889_184308017_184308448_184308568_184308707
NIC_256086	NIC_chr3_+_184314675_184317320_184317817_184319688_184319802_184320629_184320723_184320926_184320994_184321281_184322104_184322361_184322451_184322543_184322731_184322820_184322955_184323082_184323242_184323404_184323594_184323779_184323978_184324200_184324348_184324877_184325115_184325268_184325374_184325479_184325640_184325850_184325952_184326526_184326630_184326880_184326984_184327215_184327449_184327585_184327705_184327829_184328003_184328630_184328757_184328908_184328991_184331265_184331365_184331471_184331607_184331727_184331810_184331945_184332087_184334726
NIC_259605	NIC_chr5_-_138556115_138556451_138556593_138556773_138556867_138557401_138557497_138557868_138557987_138558552_138561790_138566625_138566719_138567000_138567164_138567454_138567562_138567648_138567723_138570959_138571142_138573762_138573851_138574067_138574127_138575237
NIC_262159	NIC_chr6_-_106974755_106975133
NIC_378812	NIC_chr19_-_5678649_5679344_5679764_5680457
NIC_379324	NIC_chr4_-_102869188_102885215_102885431_102887340
