transcript	LRGASP_id
ENST00000704875	FSM_chr1_+_203305749_203307103_203307689_203309137
ENST00000705383	NIC_chr1_-_6413283_6419240_6419341_6419606_6419703_6419775
ENST00000705591	NNC_chr2_-_229249858_229271013_229271196_229271838
ENST00000705677	NNC_chr10_-_69573111_69573209
ENST00000705721	NNC_chr9_+_137221745_137224929_137225234_137225613
ENST00000705743	NNC_chr12_-_15109518_15111343_15111418_15119114_15119279_15121062_15121120_15217428_15217604_15221194
ENST00000706407	NIC_chrX_+_153495114_153504620_153504870_153505237_153505402_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
ENST00000706532	NIC_chr5_-_140334281_140334657_140334749_140335871_140336028_140345910
ENST00000700737	NNC_chr1_-_18908667_18910341_18910473_18911383_18911477_18911962_18912084_18916902_18917043_18918361_18918503_18919677_18919774_18921060_18921122_18996989_18997060_19006080
ENST00000700733	NNC_chr1_-_18908667_18910341_18910473_18911383_18911477_18911962_18912084_18916902_18917043_18918361_18918503_18919677_18919774_18921060_18921122_18928035
ENST00000704405	NNC_chr16_-_57257030_57258461_57258585_57260549
ENST00000704561	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138264260_138264549_138274333
ENST00000704666	NNC_chr8_-_71842748_71844163
ENST00000704726	FSM_chr6_-_70861750_70861829_70861979_70894127_70894273_70955838
ENST00000704834	NIC_chr8_-_29337412_29338281_29338502_29340097_29340244_29345369_29346075_29349845
ENST00000705120	NNC_chr4_-_112278435_112281680_112281773_112285639
ENST00000705227	FSM_chr1_+_163068993_163069251_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
ENST00000705439	NNC_chr2_-_74498319_74498943_74499065_74499332
ENST00000705475	NIC_chr10_+_89414804_89417204_89417552_89418063
ENST00000705529	NIC_chr3_+_50205349_50207335_50207478_50214148_50214301_50214401_50214484_50214652_50214769_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
ENST00000705636	NNC_chr2_-_229249858_229262682_229262881_229271013
ENST00000705803	FSM_chr14_-_100146908_100148967_100149711_100159505
ENST00000705851	NNC_chr4_+_112145524_112180673_112180859_112186692
ENST00000705886	NNC_chr22_-_32149614_32149752_32149781_32150318_32150480_32150766
ENST00000705898	NNC_chr22_-_32149614_32149752_32149781_32150318_32150480_32150991_32151020_32151486_32151552_32152066_32152095_32152561_32152627_32154243_32154319_32155918_32156035_32158983
ENST00000705918	NIC_chr15_-_89479489_89480260_89480409_89483066_89483218_89486798_89486986_89496360
ENST00000705078	NNC_chr3_-_42995229_43105835
ENST00000705098	NIC_chr3_-_43081537_43085935_43086036_43105835
ENST00000705114	NNC_chr14_-_63686657_63698568_63698659_63716348_63716467_63727260
ENST00000705447	NIC_chr2_-_74499065_74499332_74501615_74502835
ENST00000705623	NNC_chr5_-_140335124_140337139
ENST00000705697	NIC_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75797157_75797333_75798226_75798430_75800353
ENST00000705723	NNC_chr9_+_137222216_137224573_137224825_137224929_137225234_137225613
ENST00000705763	NIC_chr17_+_49969040_49969614_49969752_49972679_49972916_49973072_49973270_49973700
ENST00000705793	NNC_chr12_-_15109518_15110127_15110283_15111343_15111418_15121062_15121120_15217428_15217604_15221194
ENST00000705834	NNC_chr14_-_100149711_100166604_100166698_100166794_100166963_100168692_100168803_100176946_100177092_100192230
ENST00000706218	NIC_chr22_+_41561184_41571842_41573778_41574732
ENST00000700735	FSM_chr1_-_18908667_18910341_18910473_18911383_18911477_18911962_18912084_18916902_18917043_18918361_18918503_18919677_18919774_18921060_18921122_18955667
ENST00000704470	NNC_chr16_-_57257030_57258461_57258585_57260129
ENST00000704472	FSM_chr16_-_57257030_57258461_57258585_57261896_57262071_57284405
ENST00000704521	NIC_chr18_-_43270649_43271711_43271833_43277247
ENST00000704596	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138259556_138259650_138264260_138264549_138274333
ENST00000704616	FSM_chr1_+_27392738_27393793
ENST00000704748	NIC_chr6_-_70861979_70894127_70894273_70955838
ENST00000704854	FSM_chr8_-_29337412_29338281_29338502_29340097_29340244_29349845
ENST00000704907	FSM_chr2_-_182834966_182837947_182838012_182838408_182838614_182842477_182842544_182858785_182858834_182866074
ENST00000705006	NNC_chr9_-_136359576_136360150_136362181_136362988_136363129_136363486
ENST00000705097	FSM_chr3_-_43081537_43090487_43090610_43105835
ENST00000705199	FSM_chrX_+_153495114_153504620_153504870_153505237_153505351_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
ENST00000705377	FSM_chr1_-_6413283_6419606_6419703_6419775
ENST00000705444	FSM_chr2_-_74498319_74499332
ENST00000705506	FSM_chr10_+_89414804_89417204
ENST00000705534	NNC_chr3_+_50217841_50217916_50217997_50218269_50218489_50218592_50218718_50218803_50219985_50220072
ENST00000705606	FSM_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345910_140346085_140346282
ENST00000705688	FSM_chr10_-_69573045_69573209
ENST00000705699	FSM_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75796327_75796533_75797157_75797333_75798226_75798430_75800353
ENST00000705725	FSM_chr9_+_137225234_137225613
ENST00000705773	FSM_chr17_+_49969752_49973072_49973270_49973700
ENST00000705832	NNC_chr14_-_100146908_100148967_100149711_100166604_100166698_100166794_100166963_100176919_100177092_100192230
ENST00000705874	FSM_chr13_+_49628616_49630429
ENST00000705895	FSM_chr22_-_32149614_32149752_32149781_32150318_32150480_32150991_32151020_32151486_32151552_32152066_32152095_32152561_32152627_32154243_32154319_32158983
ENST00000705924	FSM_chr4_+_112145734_112186692
ENST00000705998	FSM_chr10_+_80132827_80142081_80142180_80144222_80144344_80144899
ENST00000706220	FSM_chr22_+_41561184_41571842_41572142_41573654_41573778_41574732
TCONS_00000025	NNC_chr10_+_80132827_80142081_80142180_80143768_80144344_80144899
TCONS_00000096	NNC_chr22_+_41561000_41561090_41561184_41571842_41572142_41572626_41572783_41573381_41573476_41573654_41573778_41574732
TCONS_00000133	NNC_chr5_-_138257952_138259556_138259650_138264260_138264549_138270667_138270706_138274333
