transcript	platformBarcode	libraryBarcode	dataCetegory	platformLibraryBarcode	tssStdDev	ttsStdDev	numExons	length	mediaCpm	associatedGene	pbPlatformCount	ontPlatformCount	freestylePlatformCount	cDNAPrepCount	dRNAPrepCount	capTrapPrepCount	r2c2PrepCount	freestylePrepCount	longOnlyCatCount	longShortCatCount	freeStyleCatCount
NNC-123200	1,3,0	4,0,0,0,0	3,1,0	1,0,3,0,0,0	42.8981351576033	38.8447765686285	7	1490	1.07168934495893	173996at9347	1	3	0	4	0	0	0	0	3	1	0
FSM-11703	0,2,0	2,0,0,0,0	2,0,0	0,0,2,0,0,0	74.953318805774	7.77817459305202	4	670.5	0.842037916219756	194969at9347	0	2	0	2	0	0	0	0	2	0	0
FSM-11716	1,3,0	4,0,0,0,0	3,1,0	1,0,3,0,0,0	39.2003401345788	731.932146217576	5	1833	11.9479163779704	163882at9347	1	3	0	4	0	0	0	0	3	1	0
NNC-297076	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	8	1564	49.5048410447617	162476at9347	0	1	0	1	0	0	0	0	1	0	0
NNC-130500	0,3,0	3,0,0,0,0	2,1,0	0,0,3,0,0,0	19.6299091524473	1470.39824537436	6	3587	2.85173517992478	162476at9347	0	3	0	3	0	0	0	0	2	1	0
NIC-118574	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	2	4684	9.61381797917191	162476at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-130498	1,2,0	3,0,0,0,0	3,0,0	1,0,2,0,0,0	27.2457947825593	465.646146052271	7	1508	67.5455262036396	162476at9347	1	2	0	3	0	0	0	0	3	0	0
ISM-113496	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	249.415316289918	395.334457558829	6	1864	5.4023198207814	162476at9347	0	2	0	2	0	0	0	0	1	1	0
ISM-113494	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	2	3783	2.01386952435603	162476at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-250680	0,1,0	1,0,0,0,0	0,1,0	0,0,1,0,0,0	NaN	NaN	5	1324	2.79790840178837	162476at9347	0	1	0	1	0	0	0	0	0	1	0
NNC-130497	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	8	1158	1.51396661156926	162476at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-250681	0,1,0	1,0,0,0,0	0,1,0	0,0,1,0,0,0	NaN	NaN	7	1585	4.60997199697208	162476at9347	0	1	0	1	0	0	0	0	0	1	0
NNC-250679	0,1,0	1,0,0,0,0	0,1,0	0,0,1,0,0,0	NaN	NaN	6	1463	1.11875230659168	162476at9347	0	1	0	1	0	0	0	0	0	1	0
ISM-113495	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	3	2038	1.06503174447716	162476at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-298416	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	5	7337	2.43518959184588	190504at9347	0	1	0	1	0	0	0	0	1	0	0
NNC-298417	1,1,0	2,0,0,0,0	2,0,0	1,0,1,0,0,0	2336.28080504035	187.383297014435	6	3956.5	2.54455907588303	190504at9347	1	1	0	2	0	0	0	0	2	0	0
NNC-252608	1,2,0	3,0,0,0,0	2,1,0	1,0,2,0,0,0	1946.4840953199	162.815846894582	6	2096	2.81969321161102	190504at9347	1	2	0	3	0	0	0	0	2	1	0
ISM-314146	1,0,0	1,0,0,0,0	1,0,0	1,0,0,0,0,0	NaN	NaN	2	1583	3.11349032753263	190504at9347	1	0	0	1	0	0	0	0	1	0	0
NNC-302078	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	10	3531	8.33091176157802	35652at9347	0	1	0	1	0	0	0	0	1	0	0
NNC-141786	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	9	3617	4.49526097418409	35652at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-141787	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	7	3988	5.73813835246924	35652at9347	0	1	0	1	0	0	0	0	1	0	0
NIC-121112	0,2,0	2,0,0,0,0	2,0,0	0,0,2,0,0,0	311.126983722081	4.94974746830583	2	1670.5	4.42658979402788	123284at9347	0	2	0	2	0	0	0	0	2	0	0
NNC-303935	0,1,0	1,0,0,0,0	1,0,0	0,0,1,0,0,0	NaN	NaN	12	3080	12.1759479592294	59060at9347	0	1	0	1	0	0	0	0	1	0	0
NNC-145266	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	11	2848	11.2963624723093	59060at9347	0	2	0	2	0	0	0	0	1	1	0
NNC-145259	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	0	0	12	2728	11.0718542530905	59060at9347	0	2	0	2	0	0	0	0	1	1	0
FSM-158881	0,2,0	2,0,0,0,0	1,1,0	0,0,2,0,0,0	291.327993848858	2.82842712474619	10	2517	20.9668203039876	59060at9347	0	2	0	2	0	0	0	0	1	1	0
