target	transcript	transcript_len	amplicon_len
ARL11+A	ENST00000705874	1938	391
B3GAT2+A	ENST00000704726	4964	553
B3GAT2+B	ENST00000704748	5148	393
BGN+A	ENST00000705199	2391	456
BGN+B	ENST00000706407	2403	428
BGN+C	TM_000001045734_X_ZXJ	2157	442
BTG2+A	ENST00000704875	1330	1054
BTG2+B	TM_000002801666_1_ZXJ	1304	987
C22orf42+A	ENST00000705895	1355	404
C22orf42+C	ENST00000705898	1501	195
C22orf42+D	ENST00000705886	1356	281
CSDC2+A	ENST00000706220	2477	596
CSDC2+B	ENST00000706218	4041	1401
CSDC2+C	TCONS_00000096	2942	588
CSDC2+D	TM_000000048178_22_DBL	3949	777
CYSRT1+A	ENST00000705725	2233	1344
CYSRT1+B	ENST00000705721	1132	508
CYSRT1+C	ENST00000705723	1447	784
DEGS2+A	ENST00000705803	3834	894
DEGS2+B	ENST00000705834	1516	492
DEGS2+C	ENST00000705832	2289	559
DGAT2+A	ENST00000705699	2444	547
DGAT2+D	ENST00000705697	1351	284
DLX4+A	ENST00000705773	2013	796
DLX4+B	ENST00000705763	2294	715
DNLZ+C	ENST00000705006	2522	197
DUSP4+A	ENST00000704854	5610	801
DUSP4+B	ENST00000704834	2078	791
DUSP4+C	TM_000000009243_8_BGY	3107	302
FAM241A+A	ENST00000705924	2580	120
FAM241A+B	ENST00000705851	716	145
FRZB+A	ENST00000704907	2386	576
GFRA3+A	ENST00000704596	1985	1134
GFRA3+B	ENST00000704561	1871	394
GFRA3+C	TCONS_00000133	1130	855
GPR3+A	ENST00000704616	2143	402
GPR3+C	TM_000000729301_1_ZXJ	663	215
HBEGF+A	ENST00000705606	2348	795
HBEGF+B	ENST00000706532	837	579
HBEGF+C	ENST00000705623	4248	385
HBEGF+D	TM_000001690029_5_ABL	2277	305
HES2+A	ENST00000705377	461	318
HES2+B	ENST00000705383	576	227
IFFO2+A	ENST00000700735	6119	920
IFFO2+B	ENST00000700733	6565	886
IFFO2+C	ENST00000700737	5324	523
IFFO2+D	TM_000000351176_1_ZXJ	2505	427
IFIT5+A	ENST00000705506	2767	1115
IFIT5+B	ENST00000705475	2269	388
LBX2+A	ENST00000705444	1061	359
LBX2+B	ENST00000705447	4101	1152
LBX2+C	ENST00000705439	1141	265
MPZL3+B	TM_000000122115_11_DBL	2392	506
MSC+A	ENST00000704666	1519	442
NEUROG3+A	ENST00000705688	1851	294
NEUROG3+B	ENST00000705677	1825	173
PID1+A	ENST00000705591	954	341
PID1+B	ENST00000705636	841	186
PLAC9+A	TCONS_00000025	1127	463
PLAC9+B	ENST00000705998	693	302
PLLP+A	ENST00000704472	1505	339
PLLP+B	ENST00000704470	1300	652
PLLP+C	ENST00000704405	1154	567
PLLP+D	ENST00000704470	1300	336
PLLP+E	ENST00000704405	1154	277
PLLP+F	ENST00000704472	1505	479
POMGNT2+A	ENST00000705098	2662	224
POMGNT2+B	ENST00000705078	2711	536
POMGNT2+C	ENST00000705097	2662	682
RERG+A	ENST00000705743	2406	313
RERG+B	ENST00000705793	2419	162
RGS4+A	ENST00000705227	2985	352
RGS4+B	TM_000003574079_1_ABL	880	274
RHCG+A	ENST00000705918	2808	656
SGPP1+A	ENST00000705114	3456	385
SLC38A3+A	ENST00000705529	2320	908
SLC38A3+B	ENST00000705534	2618	409
SYT4+A	ENST00000704521	3172	238
TIFA+A	ENST00000705120	1803	277
