target	transcript	transcript_len	amplicon_len
ALG6+1	NNC_39352	1978	367
ANAPC16+1	NIC_39183	951	269
ANKMY2+1	FSM_32744	2509	1458
APMAP+1	NIC_59594	1996	547
ARPC2+1	NIC_485306	1339	287
ASNS+1	FSM_33192	1848	794
ASNSD1+1	NIC_59301	2379	1659
B2M+1	NNC_381534	932	453
CALB1+1	NNC_75451	2218	317
CALM2+1	FSM_21072	1164	890
CC2D2A+1	NIC_532252	1256	745
CCDC106+1	FSM_19966	1545	906
CCL26+1	NNC_39593	634	280
CD200+1	NNC_80928	2132	606
CD24+1	NIC_262159	5087	1720
CENPK+1	NIC_72714	1554	242
CERCAM+1	NIC_532501	1961	292
CERNA1+1	FSM_12039	1947	598
CIBAR1+1	NIC_39315	1825	356
CNN1+1	NIC_58623	1466	1172
CYB5B+1	NNC_80301	1793	354
DGUOK+1	NIC_59538	638	305
DPP3+1	FSM_374933	2679	937
DUSP6+1	FSM_7937	2982	1512
EFHD2+1	NIC_54729	2205	238
EIF4G1+1	NIC_256086	5427	4406
ENG+1	NNC_65365	2121	630
ENO1+1	NIC_214405	4108	1105
FBXL16+1	NIC_57258	2186	265
GABPA+1	NNC_389484	519	249
HNRNPH2+1	NNC_65559	2289	325
HSPA9+1	NIC_259605	5402	1087
HSPB11+1	NNC_39338	606	289
ID3+1	NNC_380057	944	210
IGF2BP3+1	NIC_405674	3254	873
ITGA7+1	NIC_531654	4115	2353
KLF10+1	FSM_34168	2914	1370
KLF10+2	FSM_34168	2914	1440
LDHA+1	NIC_222079	1960	473
LRFN3+1	FSM_45884	3633	2157
LRRC42+1	NNC_63198	1720	750
MAL2+1	NIC_62200	2542	318
MICOS13+1	NIC_378812	699	260
MRPS17+1	NNC_75388	619	236
MRPS28+1	NIC_77080	794	394
MRPS34+1	NNC_82768	1011	203
MTHFS+1	NIC_56943	928	440
NACC2+1	NNC_82885	6654	881
NEK2+2	FSM_913	2126	979
NODAL+1	NNC_117384	2122	489
NUDC+1	NNC_63170	1509	644
NUDT21+1	FSM_12847	3658	1715
PDLIM1+1	FSM_4157	1430	754
PIN4+1	NIC_62916	423	213
PSMC1+1	FSM_11094	1427	696
PSMD2+1	NIC_256041	2946	996
PYM1+1	FSM_7648	1227	909
QTRT1+1	FSM_18744	1323	1079
RASL11B+1	FSM_28408	1966	571
RND2+1	NNC_39449	1599	222
RPL37+1	NIC_61094	2653	696
RPL39L+1	NNC_64587	438	280
RPS11+1	NIC_68628	439	306
RPSA+1	NIC_77005	1202	665
RUVBL2+1	NIC_58857	1743	1471
SAC3D1+1	NIC_39196	799	316
SDHC+1	NIC_78892	1240	281
SLC46A1+1	FSM_44519	4418	848
SLC9B1+1	NIC_379324	1052	488
SNHG3+1	NNC_79612	991	221
SORD+1	NNC_388728	2456	237
SPRING1+1	NIC_56020	3820	835
TAGLN2+1	FSM_607	1370	690
TEX264+1	FSM_27088	1330	1046
THBS4+1	NIC_61311	3201	569
TIMM22+1	FSM_16709	2190	367
TMEM167B+1	FSM_1823	2744	357
TNPO3+1	NNC_84136	3581	589
UBE2E1+1	FSM_26800	1391	371
USF1+1	NIC_387124	2045	690
WSB1+1	NNC_63906	2871	354
XPO7+1	NNC_69340	2048	613
XRCC6+1	NNC_64547	2160	450
ZBTB45+1	FSM_45682	2136	1343
ZDHHC8+1	NNC_64531	3471	271
ZNF148+1	NNC_534199	1299	573
ZNF622+1	FSM_28983	1697	1026
ZNF749+1	NIC_39248	618	297
ZSCAN21+1	NNC_384123	1862	487
