target	numSupports	maxSimilarity	minEndsDiff	minIndelBases	status	review
ALG6+1	31743	0.9973	-1	2	no	bad models, intron 3' at chr1:63,411,128-63,411,194 has GT-AT splice site (U12?), supported by WTC-11 reads. GENCODE and RefSeq.  Model seemed to have force GT-AG 6 bases upstream
ANAPC16+1	733	1.0	0	0	perfect	
ANKMY2+1	0	0.0	0	0	no	no alignments
APMAP+1	248	1.0	0	0	perfect	
ARL11+A	9086	1.0	0	0	perfect	
ARPC2+1	2127	1.0	0	0	perfect	
ASNS+1	442	1.0	0	0	perfect	
ASNSD1+1	2244	1.0	0	0	perfect	
B2M+1	6509	1.0	0	0	perfect	
B3GAT2+A	1377	1.0	0	0	perfect	
B3GAT2+B	106	1.0	0	0	perfect	
BGN+A	6317	1.0	0	0	perfect	
BGN+B	1464	1.0	0	0	perfect	
BGN+C	2	1.0	0	0	perfect	
BTG2+A	1	0.9962	8	0	good	intron chain confirmed
BTG2+B	0	0.0	0	0	no	TM_000002801666_1_ZXJ has ~50 base non-intron gap.  Bad model, should not have been included
C22orf42+A	35	1.0	0	0	perfect	
C22orf42+C	1	1.0	0	0	perfect	
C22orf42+D	174	0.9396	-21	0	no	no read contains exon at chr22:32,150,766-32,150,821
CALB1+1	17	1.0	0	0	perfect	
CALM2+1	4087	1.0	0	0	perfect	
CC2D2A+1	41	1.0	0	0	perfect	
CCDC106+1	3	1.0	0	0	perfect	
CCL26+1	10951	1.0	0	0	perfect	
CD200+1	4	1.0	0	0	perfect	
CD24+1	3	0.9997	1	1	good	intron chain confirmed [has reads claiming wrong strand]
CENPK+1	1648	1.0	0	0	perfect	
CERCAM+1	149	1.0	0	0	perfect	
CERNA1+1	155	1.0	0	0	perfect	
CIBAR1+1	4	1.0	0	0	perfect	
CNN1+1	2456	1.0	0	0	perfect	
CSDC2+A	2	1.0	0	0	perfect	
CSDC2+B	0	0.0	0	0	no	Nothing observed that supports
CSDC2+C	1334	0.9338	-33	3	no	Nothing observed that supports
CSDC2+D	4	1.0	0	0	perfect	
CYB5B+1	311	0.9724	11	0	okay	One read confirms; most reads have extra exon [has reads claiming wrong strand]
CYSRT1+A	0	0.0	0	0	no	Nothing observed that supports
CYSRT1+B	1422	1.0	0	0	perfect	
CYSRT1+C	0	0.0	0	0	no	Nothing observed that supports
DEGS2+A	6161	1.0	0	0	perfect	
DEGS2+B	1	0.9042	86	0	okay	read a8b0928f-a489-4578-8d0b-4ae57144d388 confirms
DEGS2+C	1	1.0	0	0	perfect	
DGAT2+A	8990	1.0	0	0	perfect	
DGAT2+D	1	0.9965	-1	0	no	read m64152e_230121_000958/54985650/ccs does not validate splice junction
DGUOK+1	37	1.0	0	0	perfect	
DLX4+A	2266	1.0	0	0	perfect	
DLX4+B	1	0.9312	92	92	no	no read covering 3rd exon
DNLZ+C	1	0.9949	2	2	okay	39b13598-2dd7-4414-a8bb-87fd69c86130 validates splice junction and primers
DPP3+1	16	1.0	0	0	perfect	
DUSP4+A	115	1.0	0	0	perfect	
DUSP4+B	70	1.0	0	0	perfect	
DUSP4+C	1989	1.0	0	0	perfect	
DUSP6+1	955	1.0	0	0	perfect	
EFHD2+1	4265	1.0	0	0	perfect	
EIF4G1+1	7	1.0	0	0	perfect	
ENG+1	2718	1.0	0	0	perfect	
